Timestamp,Server,Port,Type,Mode,Sent bitrate (bps),Sent bytes,Retransmissions,Receive bitrate (bps),Receive bytes
1656437461,ok1.iperf.comnet-student.eu,5206,TCP,0,141364340.31318378,176706680,23,141224769.56145108,176545208
1656437472,ok1.iperf.comnet-student.eu,5201,TCP,1,620303404.7144992,775452064,13,620305119.0336548,775386904
1656441061,ok1.iperf.comnet-student.eu,5200,TCP,0,473851692.2678157,592318880,26,473642432.2483837,592103128
1656441071,ok1.iperf.comnet-student.eu,5200,TCP,1,663828984.8532252,829852448,4,663824984.4776133,829787288
1656444661,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656444791,ok1.iperf.comnet-student.eu,5208,TCP,1,684591424.7308152,855815784,0,684595433.1937944,855750624
1656448261,ok1.iperf.comnet-student.eu,5202,TCP,0,549992776.0520124,687495920,41,549764687.1170009,687269288
1656448271,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656451861,ok1.iperf.comnet-student.eu,5201,TCP,0,511990099.30296725,639994280,16,511684484.4148775,639783224
1656451872,ok1.iperf.comnet-student.eu,5201,TCP,1,676999697.3264788,846321976,6,677001804.4871881,846258264
1656455461,ok1.iperf.comnet-student.eu,5200,TCP,0,90852657.8608634,113566640,17,90668172.121265,113346152
1656455471,ok1.iperf.comnet-student.eu,5208,TCP,1,641662364.6756383,802141320,14,641709847.4507627,802141320
1656459061,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656459192,ok1.iperf.comnet-student.eu,5206,TCP,1,669616988.2877935,837097488,6,669620974.1668886,837032328
1656462661,ok1.iperf.comnet-student.eu,5207,TCP,0,88159406.06821692,110200040,21,88019047.308376,110032424
1656462672,ok1.iperf.comnet-student.eu,5205,TCP,1,555240397.5580503,694108936,9,555286315.8705262,694108936
1656466261,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656466391,ok1.iperf.comnet-student.eu,5201,TCP,1,625994963.1312419,782575944,0,626004119.9703362,782510784
1656469861,ok1.iperf.comnet-student.eu,5202,TCP,0,84319345.76457965,105399920,15,84167457.01098014,105216728
1656469871,ok1.iperf.comnet-student.eu,5201,TCP,1,616092705.4061283,770183960,0,616092822.0658406,770118800
1656473461,ok1.iperf.comnet-student.eu,5206,TCP,0,95822167.6626096,119778560,20,95650342.88464978,119571848
1656473471,ok1.iperf.comnet-student.eu,5200,TCP,1,660312138.9351634,825462808,0,660313364.1437782,825397648
1656477061,ok1.iperf.comnet-student.eu,5207,TCP,0,423392151.5765087,529244000,41,423143090.61002177,528973928
1656477071,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656480661,ok1.iperf.comnet-student.eu,5206,TCP,0,355209254.0142965,444014720,10,355000721.3361966,443788088
1656480671,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656484261,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656484391,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656487861,ok1.iperf.comnet-student.eu,5203,TCP,0,93806565.9733816,117259040,15,93645395.03491645,117065008
1656487871,ok1.iperf.comnet-student.eu,5200,TCP,1,700263487.7966905,875405776,7,700267380.8481197,875340616
1656491461,ok1.iperf.comnet-student.eu,5203,TCP,0,89636355.58187537,112046240,18,89512478.66313931,111900344
1656491471,ok1.iperf.comnet-student.eu,5202,TCP,1,709947621.2834308,887513952,9,709953992.9266502,887448792
1656495061,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656495192,ok1.iperf.comnet-student.eu,5200,TCP,1,645085899.0011822,806441880,0,645096795.8127497,806376720
1656498661,ok1.iperf.comnet-student.eu,5203,TCP,0,138879589.95491132,173600720,19,138700635.14866108,173389664
1656498672,ok1.iperf.comnet-student.eu,5200,TCP,1,534146598.6694059,667753088,11,534147654.93688446,667689376
1656502261,ok1.iperf.comnet-student.eu,5207,TCP,0,370670299.94005096,463345520,11,370478679.2835,463154384
1656502271,ok1.iperf.comnet-student.eu,5201,TCP,1,417409567.9719685,521834224,2,417459405.7253507,521834224
1656505861,ok1.iperf.comnet-student.eu,5201,TCP,0,162665896.27814546,203335400,16,162396528.76752448,203021888
1656505871,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656509461,ok1.iperf.comnet-student.eu,5200,TCP,0,91928445.29584648,114913280,14,91772250.1349887,114730088
1656509471,ok1.iperf.comnet-student.eu,5207,TCP,1,501599454.3956083,627081016,11,501607267.4415116,627015856
1656513061,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656513192,ok1.iperf.comnet-student.eu,5203,TCP,1,547635715.9227741,684614400,0,547632382.3055065,684549240
1656516661,ok1.iperf.comnet-student.eu,5206,TCP,0,514526711.6588429,643165400,5,514303098.4955751,642955440
1656516671,ok1.iperf.comnet-student.eu,5205,TCP,1,549084327.3329893,686430016,0,549086339.0279758,686364856
1656520261,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656520393,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1
1656523861,ok1.iperf.comnet-student.eu,5201,TCP,0,83779554.14118469,104726600,18,83518151.47219427,104413088
1656523871,ok1.iperf.comnet-student.eu,5206,TCP,1,448646447.9704585,560888592,0,448652643.9240426,560823432
