;; Query time: 12775 usec
;CURL: 16.092021 1.031525 0.999642
;; Query time: 12377 usec
;CURL: 2.925309 2.846126 2.819373
;; Query time: 12715 usec
;CURL: 1.841303 1.780881 1.753875
;; Query time: 12331 usec
;CURL: 2.118491 2.044278 2.018138
;; Query time: 2531210 usec
;CURL: 10.418708 2.821009 2.790507
;; Query time: 12525 usec
;CURL: 18.431227 3.177105 3.130596
;; Query time: 12278 usec
;CURL: 16.905785 1.837874 1.809738
;; Query time: 12218 usec
;CURL: 2.182096 2.107446 2.082877
;; Query time: 12369 usec
;CURL: 2.583939 2.509528 2.484457
;; Query time: 12453 usec
;CURL: 4.304420 4.225882 4.203284
;; Query time: 12436 usec
;CURL: 2.166428 2.110498 2.075306
;; Query time: 12495 usec
;CURL: 3.089920 3.015342 2.990225
;; Query time: 12243 usec
;CURL: 1.612120 1.553490 1.532409
;; Query time: 12590 usec
;CURL: 17.737984 2.638197 2.614641
;; Query time: 12379 usec
;CURL: 2.650527 2.571998 2.546815
;; Query time: 12613 usec
;CURL: 2.229515 2.164463 2.109072
;; Query time: 12469 usec
;CURL: 2.458257 2.366784 2.299343
;; Query time: 12481 usec
;CURL: 17.894105 2.781053 2.717257
;; Query time: 12354 usec
;CURL: 2.168567 2.080063 2.030289
;; Query time: 12424 usec
;CURL: 2.582974 2.487061 2.431847
;; Query time: 12496 usec
;CURL: 17.129438 2.046639 1.990008
;; Query time: 12356 usec
;CURL: 2.744795 2.667650 2.639806
;; Query time: 12388 usec
;CURL: 2.166487 2.113187 2.084378
;; Query time: 12424 usec
;CURL: 2.617885 2.543688 2.519783
;; Query time: 12390 usec
;CURL: 2.876355 2.798464 2.769224
;; Query time: 12452 usec
;CURL: 2.343645 2.285572 2.251179
;; Query time: 12584 usec
;CURL: 2.873916 2.803583 2.778501
;; Query time: 12391 usec
;CURL: 2.510286 2.399288 2.356366
;; Query time: 12710 usec
;CURL: 18.096818 2.995942 2.965274
;; Query time: 12823 usec
;CURL: 2.029394 1.967863 1.938903
;; Query time: 12775 usec
;CURL: 16.092021 1.031525 0.999642
;; Query time: 12377 usec
;CURL: 2.925309 2.846126 2.819373
;; Query time: 12715 usec
;CURL: 1.841303 1.780881 1.753875
;; Query time: 12331 usec
;CURL: 2.118491 2.044278 2.018138
;; Query time: 2531210 usec
;CURL: 10.418708 2.821009 2.790507
;; Query time: 12525 usec
;CURL: 18.431227 3.177105 3.130596
;; Query time: 12278 usec
;CURL: 16.905785 1.837874 1.809738
;; Query time: 12218 usec
;CURL: 2.182096 2.107446 2.082877
;; Query time: 12369 usec
;CURL: 2.583939 2.509528 2.484457
;; Query time: 12453 usec
;CURL: 4.304420 4.225882 4.203284
;; Query time: 12436 usec
;CURL: 2.166428 2.110498 2.075306
;; Query time: 12495 usec
;CURL: 3.089920 3.015342 2.990225
;; Query time: 12243 usec
;CURL: 1.612120 1.553490 1.532409
;; Query time: 12590 usec
;CURL: 17.737984 2.638197 2.614641
;; Query time: 12379 usec
;CURL: 2.650527 2.571998 2.546815
;; Query time: 12613 usec
;CURL: 2.229515 2.164463 2.109072
;; Query time: 12469 usec
;CURL: 2.458257 2.366784 2.299343
;; Query time: 12481 usec
;CURL: 17.894105 2.781053 2.717257
;; Query time: 12354 usec
;CURL: 2.168567 2.080063 2.030289
;; Query time: 12424 usec
;CURL: 2.582974 2.487061 2.431847
;; Query time: 12496 usec
;CURL: 17.129438 2.046639 1.990008
;; Query time: 12356 usec
;CURL: 2.744795 2.667650 2.639806
;; Query time: 12388 usec
;CURL: 2.166487 2.113187 2.084378
;; Query time: 12424 usec
;CURL: 2.617885 2.543688 2.519783
;; Query time: 12390 usec
;CURL: 2.876355 2.798464 2.769224
;; Query time: 12452 usec
;CURL: 2.343645 2.285572 2.251179
;; Query time: 12584 usec
;CURL: 2.873916 2.803583 2.778501
;; Query time: 12391 usec
;CURL: 2.510286 2.399288 2.356366
;; Query time: 12710 usec
;CURL: 18.096818 2.995942 2.965274
;; Query time: 12823 usec
;CURL: 2.029394 1.967863 1.938903
;; Query time: 12309 usec
;CURL: 3.554312 3.479001 3.452123
;; Query time: 12733 usec
;CURL: 2.040991 1.982979 1.947485
;; Query time: 12680 usec
;CURL: 3.144277 3.052400 3.020640
;; Query time: 7981 usec
;CURL: 16.710829 1.651005 1.625499
;; Query time: 12594 usec
;CURL: 17.488787 2.401548 2.376661
;; Query time: 13097 usec
;CURL: 17.030897 1.960419 1.939914
;; Query time: 12378 usec
;CURL: 2.989420 2.911080 2.879290
;; Query time: 12346 usec
;CURL: 1.777555 1.725024 1.689639
;; Query time: 12331 usec
;CURL: 2.728805 2.655305 2.634479
;; Query time: 13013 usec
;CURL: 1.884167 1.832088 1.808456
;; Query time: 12359 usec
;CURL: 2.859466 2.750490 2.670601
;; Query time: 12381 usec
;CURL: 2.946559 2.864676 2.829907
;; Query time: 12885 usec
;CURL: 2.000964 1.936196 1.860342
;; Query time: 12638 usec
;CURL: 2.910451 2.816347 2.793046
;; Query time: 12938 usec
;CURL: 2.203786 2.110198 2.071746
;; Query time: 12664 usec
;CURL: 3.526479 3.421879 3.381048
;; Query time: 12491 usec
;CURL: 2.990644 2.857603 2.833337
;; Query time: 12465 usec
;CURL: 2.063053 2.009276 1.988767
;; Query time: 12909 usec
;CURL: 17.988769 2.881785 2.857221
;; Query time: 12534 usec
;CURL: 17.866589 2.771742 2.739709
;; Query time: 12585 usec
;CURL: 2.381019 2.331512 2.306410
;; Query time: 12768 usec
;CURL: 2.766941 2.689239 2.659558
;; Query time: 12343 usec
;CURL: 2.757235 2.668135 2.646891
;; Query time: 12699 usec
;CURL: 3.176273 3.032450 3.000966
