;; Query time: 13276 usec
;CURL: 16.100855 1.034431 1.000153
;; Query time: 13395 usec
;CURL: 2.894204 2.840337 2.819398
;; Query time: 13155 usec
;CURL: 1.836068 1.776338 1.753678
;; Query time: 15177 usec
;CURL: 2.094822 2.038630 2.018427
;; Query time: 2496893 usec
;CURL: 10.419783 2.822090 2.786697
;; Query time: 13273 usec
;CURL: 18.396641 3.166294 3.133079
;; Query time: 12932 usec
;CURL: 16.905588 1.837792 1.809708
;; Query time: 12779 usec
;CURL: 2.164258 2.113948 2.082288
;; Query time: 12913 usec
;CURL: 2.561794 2.508269 2.484469
;; Query time: 13478 usec
;CURL: 4.270234 4.224696 4.203553
;; Query time: 818974 usec
;CURL: 2.984314 2.110621 2.074666
;; Query time: 52674 usec
;CURL: 3.112288 3.016855 2.989886
;; Query time: 12454 usec
;CURL: 1.609090 1.557108 1.530911
;; Query time: 25171 usec
;CURL: 17.728510 2.641672 2.613579
;; Query time: 12860 usec
;CURL: 2.624095 2.573337 2.546069
;; Query time: 12470 usec
;CURL: 2.269663 2.164093 2.108737
;; Query time: 12526 usec
;CURL: 2.459009 2.367424 2.305030
;; Query time: 12826 usec
;CURL: 17.877479 2.781167 2.717331
;; Query time: 12985 usec
;CURL: 2.168934 2.082400 2.030645
;; Query time: 12823 usec
;CURL: 2.555783 2.488060 2.432680
;; Query time: 12750 usec
;CURL: 17.120333 2.044078 1.989727
;; Query time: 12551 usec
;CURL: 2.717965 2.671874 2.643842
;; Query time: 12587 usec
;CURL: 2.171600 2.116402 2.084597
;; Query time: 12767 usec
;CURL: 2.592951 2.547585 2.520010
;; Query time: 12615 usec
;CURL: 2.875230 2.801813 2.768111
;; Query time: 12835 usec
;CURL: 2.344145 2.281781 2.251769
;; Query time: 12845 usec
;CURL: 2.859856 2.797500 2.775155
;; Query time: 13155 usec
;CURL: 2.466138 2.400983 2.357926
;; Query time: 14508 usec
;CURL: 18.073340 2.998135 2.966525
;; Query time: 12675 usec
;CURL: 2.029937 1.961951 1.939555
;; Query time: 13169 usec
;CURL: 3.534322 3.481533 3.451551
;; Query time: 12933 usec
;CURL: 2.034874 1.972005 1.947936
;; Query time: 12581 usec
;CURL: 3.101257 3.049146 3.021274
;; Query time: 8214 usec
;CURL: 16.712162 1.641676 1.617339
;; Query time: 13309 usec
;CURL: 17.463413 2.399394 2.373586
;; Query time: 13075 usec
;CURL: 17.047905 1.973801 1.941265
;; Query time: 13935 usec
;CURL: 2.956278 2.903102 2.880749
;; Query time: 13018 usec
;CURL: 1.771809 1.715604 1.689197
;; Query time: 12726 usec
;CURL: 2.715041 2.661981 2.634559
;; Query time: 13873 usec
;CURL: 1.884122 1.834020 1.808408
;; Query time: 13361 usec
;CURL: 2.824727 2.746712 2.670555
;; Query time: 13613 usec
;CURL: 2.922917 2.863750 2.829005
;; Query time: 12568 usec
;CURL: 2.001048 1.936382 1.857819
;; Query time: 14204 usec
;CURL: 2.869574 2.813027 2.792719
;; Query time: 13306 usec
;CURL: 2.205410 2.111890 2.073391
;; Query time: 14063 usec
;CURL: 3.503552 3.424146 3.382989
;; Query time: 13338 usec
;CURL: 2.911898 2.862049 2.830875
;; Query time: 12639 usec
;CURL: 2.066012 2.014455 1.988133
;; Query time: 13276 usec
;CURL: 17.988905 2.894131 2.861891
;; Query time: 12791 usec
;CURL: 17.834414 2.766835 2.740378
;; Query time: 12824 usec
;CURL: 2.372332 2.327603 2.306370
;; Query time: 13054 usec
;CURL: 2.739629 2.690064 2.660228
;; Query time: 13296 usec
;CURL: 2.713155 2.659802 2.638716
;; Query time: 13604 usec
;CURL: 3.078749 3.020539 2.998403
