;; Query time: 322285 usec
;CURL: 16.410200 1.044784 0.999718
;; Query time: 306800 usec
;CURL: 3.191081 2.841170 2.819277
;; Query time: 307191 usec
;CURL: 2.124918 1.780938 1.753953
;; Query time: 307074 usec
;CURL: 2.392769 2.043346 2.018237
;; Query time: 2855592 usec
;CURL: 10.717499 2.818339 2.787209
;; Query time: 322146 usec
;CURL: 18.715431 3.166330 3.133076
;; Query time: 322289 usec
;CURL: 17.213660 1.829305 1.809320
;; Query time: 310898 usec
;CURL: 2.454801 2.103614 2.083038
;; Query time: 313635 usec
;CURL: 2.866877 2.513852 2.484891
;; Query time: 312036 usec
;CURL: 4.583724 4.236082 4.204645
;; Query time: 311857 usec
;CURL: 2.460528 2.110535 2.075281
;; Query time: 307375 usec
;CURL: 3.363665 3.011800 2.990796
;; Query time: 307526 usec
;CURL: 1.901954 1.558731 1.532510
;; Query time: 323054 usec
;CURL: 18.027488 2.642843 2.614616
;; Query time: 309806 usec
;CURL: 2.923917 2.566371 2.545763
;; Query time: 310056 usec
;CURL: 2.537176 2.164185 2.108673
;; Query time: 308243 usec
;CURL: 2.731262 2.356002 2.299934
;; Query time: 322316 usec
;CURL: 18.181420 2.781094 2.717325
;; Query time: 310142 usec
;CURL: 2.472748 2.092974 2.030705
;; Query time: 307086 usec
;CURL: 2.838523 2.486966 2.431577
;; Query time: 322373 usec
;CURL: 17.441614 2.045758 1.989169
;; Query time: 308348 usec
;CURL: 3.012272 2.664742 2.643618
;; Query time: 308449 usec
;CURL: 2.454808 2.105688 2.085946
;; Query time: 309694 usec
;CURL: 2.883128 2.540399 2.516643
;; Query time: 307299 usec
;CURL: 3.371982 2.794668 2.769144
;; Query time: 306976 usec
;CURL: 2.632363 2.282012 2.251787
;; Query time: 307355 usec
;CURL: 3.154739 2.803646 2.778500
;; Query time: 309687 usec
;CURL: 2.756377 2.398206 2.355434
;; Query time: 322330 usec
;CURL: 18.423232 2.995798 2.965157
;; Query time: 307044 usec
;CURL: 2.330924 1.968921 1.939560
;; Query time: 307099 usec
;CURL: 3.819891 3.474066 3.451652
;; Query time: 307433 usec
;CURL: 2.321709 1.975908 1.947546
;; Query time: 308334 usec
;CURL: 3.403171 3.052400 3.020640
;; Query time: 318565 usec
;CURL: 17.022851 1.645344 1.622983
;; Query time: 322531 usec
;CURL: 17.781484 2.404707 2.373393
;; Query time: 323649 usec
;CURL: 17.341461 1.972529 1.940033
;; Query time: 307052 usec
;CURL: 3.252674 2.899284 2.880281
;; Query time: 308260 usec
;CURL: 2.072888 1.713123 1.689608
;; Query time: 308256 usec
;CURL: 3.010142 2.665596 2.634461
;; Query time: 307156 usec
;CURL: 2.180158 1.838351 1.809021
;; Query time: 307841 usec
;CURL: 3.112062 2.747805 2.671499
;; Query time: 309784 usec
;CURL: 3.218775 2.862168 2.827323
;; Query time: 307132 usec
;CURL: 2.382792 1.936722 1.858179
;; Query time: 306997 usec
;CURL: 3.168012 2.821102 2.792607
;; Query time: 308317 usec
;CURL: 2.533235 2.109910 2.071546
;; Query time: 309877 usec
;CURL: 3.852322 3.423712 3.382608
;; Query time: 306752 usec
;CURL: 3.210996 2.857465 2.833109
;; Query time: 309827 usec
;CURL: 2.359958 2.014758 1.988414
;; Query time: 323951 usec
;CURL: 18.328664 2.878717 2.861946
;; Query time: 322474 usec
;CURL: 18.148616 2.766665 2.739943
;; Query time: 307908 usec
;CURL: 2.682685 2.338470 2.306401
;; Query time: 310158 usec
;CURL: 3.035796 2.684364 2.660421
;; Query time: 309547 usec
;CURL: 3.011883 2.665096 2.641340
;; Query time: 307455 usec
;CURL: 3.371926 3.025031 2.996016
;; Query time: 309818 usec
;CURL: 2.087568 1.738668 1.716905
;; Query time: 322285 usec
;CURL: 16.410200 1.044784 0.999718
;; Query time: 306800 usec
;CURL: 3.191081 2.841170 2.819277
;; Query time: 307191 usec
;CURL: 2.124918 1.780938 1.753953
;; Query time: 307074 usec
;CURL: 2.392769 2.043346 2.018237
;; Query time: 2855592 usec
;CURL: 10.717499 2.818339 2.787209
;; Query time: 322146 usec
;CURL: 18.715431 3.166330 3.133076
;; Query time: 322289 usec
;CURL: 17.213660 1.829305 1.809320
;; Query time: 310898 usec
;CURL: 2.454801 2.103614 2.083038
;; Query time: 313635 usec
;CURL: 2.866877 2.513852 2.484891
;; Query time: 312036 usec
;CURL: 4.583724 4.236082 4.204645
;; Query time: 311857 usec
;CURL: 2.460528 2.110535 2.075281
;; Query time: 307375 usec
;CURL: 3.363665 3.011800 2.990796
;; Query time: 307526 usec
;CURL: 1.901954 1.558731 1.532510
;; Query time: 323054 usec
;CURL: 18.027488 2.642843 2.614616
;; Query time: 309806 usec
;CURL: 2.923917 2.566371 2.545763
;; Query time: 310056 usec
;CURL: 2.537176 2.164185 2.108673
;; Query time: 308243 usec
;CURL: 2.731262 2.356002 2.299934
;; Query time: 322316 usec
;CURL: 18.181420 2.781094 2.717325
;; Query time: 310142 usec
;CURL: 2.472748 2.092974 2.030705
;; Query time: 307086 usec
;CURL: 2.838523 2.486966 2.431577
;; Query time: 322373 usec
;CURL: 17.441614 2.045758 1.989169
;; Query time: 308348 usec
;CURL: 3.012272 2.664742 2.643618
;; Query time: 308449 usec
;CURL: 2.454808 2.105688 2.085946
;; Query time: 309694 usec
;CURL: 2.883128 2.540399 2.516643
;; Query time: 307299 usec
;CURL: 3.371982 2.794668 2.769144
;; Query time: 306976 usec
;CURL: 2.632363 2.282012 2.251787
;; Query time: 307355 usec
;CURL: 3.154739 2.803646 2.778500
;; Query time: 309687 usec
;CURL: 2.756377 2.398206 2.355434
;; Query time: 322330 usec
;CURL: 18.423232 2.995798 2.965157
;; Query time: 307044 usec
;CURL: 2.330924 1.968921 1.939560
;; Query time: 307099 usec
;CURL: 3.819891 3.474066 3.451652
;; Query time: 307433 usec
;CURL: 2.321709 1.975908 1.947546
;; Query time: 308334 usec
;CURL: 3.403171 3.052400 3.020640
;; Query time: 318565 usec
;CURL: 17.022851 1.645344 1.622983
;; Query time: 322531 usec
;CURL: 17.781484 2.404707 2.373393
;; Query time: 323649 usec
;CURL: 17.341461 1.972529 1.940033
;; Query time: 307052 usec
;CURL: 3.252674 2.899284 2.880281
;; Query time: 308260 usec
;CURL: 2.072888 1.713123 1.689608
;; Query time: 308256 usec
